x,y
1.0,1.9
1.02,1.9116
1.04,1.9232
1.06,1.9348
1.08,1.9464
1.1,1.958
1.12,1.9696
1.14,1.9812
1.16,1.9928
1.18,2.0044
1.2,2.016
1.22,2.0276
1.24,2.0392
1.26,2.0508
1.28,2.0624
1.3,2.074
1.32,2.0856
1.34,2.0972
1.36,2.1088
1.38,2.1204
1.4,2.132
1.42,2.1436
1.44,2.1552
1.46,2.1668
1.48,2.1784
1.5,2.19
1.52,2.2016
1.54,2.2132
1.56,2.2248
1.58,2.2364
1.6,2.248
1.62,2.2596
1.64,2.2712
1.66,2.2828
1.68,2.2944
1.7,2.306
1.72,2.3176
1.74,2.3292
1.76,2.3408
1.78,2.3524
1.8,2.364
1.82,2.3756
1.84,2.3872
1.86,2.3988
1.88,2.4104
1.9,2.422
1.92,2.4336
1.94,2.4452
1.96,2.4568
1.98,2.4684
2.0,2.48
2.02,2.4916
2.04,2.5032
2.06,2.5148
2.08,2.5264
2.1,2.538
2.12,2.5496
2.14,2.5612
2.16,2.5728
2.18,2.5844
2.2,2.596
2.22,2.6076
2.24,2.6192
2.26,2.6308
2.28,2.6424
2.3,2.654
2.32,2.6656
2.34,2.6772
2.36,2.6888
2.38,2.7004
2.4,2.712
2.42,2.7236
2.44,2.7352
2.46,2.7468
2.48,2.7584
2.5,2.77
2.52,2.7816
2.54,2.7932
2.56,2.8048
2.58,2.8164
2.6,2.828
2.62,2.8396
2.64,2.8512
2.66,2.8628
2.68,2.8744
2.7,2.886
2.72,2.8976
2.74,2.9092
2.76,2.9208
2.78,2.9324
2.8,2.944
2.82,2.9556
2.84,2.9672
2.86,2.9788
2.88,2.9904
2.9,3.002
2.92,3.0136
2.94,3.0252
2.96,3.0368
2.98,3.0484
3.0,3.06
3.02,3.0716
3.04,3.0832
3.06,3.0948
3.08,3.1064
3.1,3.118
3.12,3.1296
3.14,3.1412
3.16,3.1528
3.18,3.1644
3.2,3.176
3.22,3.1876
3.24,3.1992
3.26,3.2108
3.28,3.2224
3.3,3.234
3.32,3.2456
3.34,3.2572
3.36,3.2688
3.38,3.2804
3.4,3.292
3.42,3.3036
3.44,3.3152
3.46,3.3268
3.48,3.3384
3.5,3.35
3.52,3.3616
3.54,3.3732
3.56,3.3848
3.58,3.3964
3.6,3.408
3.62,3.4196
3.64,3.4312
3.66,3.4428
3.68,3.4544
3.7,3.466
3.72,3.4776
3.74,3.4892
3.76,3.5008
3.78,3.5124
3.8,3.524
3.82,3.5356
3.84,3.5472
3.86,3.5588
3.88,3.5704
3.9,3.582
3.92,3.5936
3.94,3.6052
3.96,3.6168
3.98,3.6284
4.0,3.64
4.02,3.6516
4.04,3.6632
4.06,3.6748
4.08,3.6864
4.1,3.698
4.12,3.7096
4.14,3.7212
4.16,3.7328
4.18,3.7444
4.2,3.756
4.22,3.7676
4.24,3.7792
4.26,3.7908
4.28,3.8024
4.3,3.814
4.32,3.8256
4.34,3.8372
4.36,3.8488
4.38,3.8604
4.4,3.872
4.42,3.8836
4.44,3.8952
4.46,3.9068
4.48,3.9184
4.5,3.93
4.52,3.9416
4.54,3.9532
4.56,3.9648
4.58,3.9764
4.6,3.988
4.62,3.9996
4.64,4.0112
4.66,4.0228
4.68,4.0344
4.7,4.046
4.72,4.0576
4.74,4.0692
4.76,4.0808
4.78,4.0924
4.8,4.104
4.82,4.1156
4.84,4.1272
4.86,4.1388
4.88,4.1504
4.9,4.162
4.92,4.1736
4.94,4.1852
4.96,4.1968
4.98,4.2084
5.0,4.22
