x,y_euler,y_rk2,y_true
0.0,1.0,1.0,1.0
0.1,1.4,1.36,1.358633
0.2,1.72,1.6318,1.628778
0.3,1.952,1.806139,1.80113
0.4,2.0872,1.872784,1.865402
0.5,2.11592,1.820426,1.81023
0.6,2.027512,1.636571,1.62305
0.7,1.810263,1.307411,1.289978
0.8,1.45129,0.817689,0.795673
0.9,0.936418,0.150546,0.123175
1.0,0.25006,-0.712647,-0.746255
1.1,-0.624934,-1.792475,-1.833328
1.2,-1.707427,-3.111685,-3.160935
1.3,-3.01817,-4.695411,-4.754373
1.4,-4.579987,-6.57143,-6.6416
1.5,-6.417985,-8.77043,-8.853513
1.6,-8.559784,-11.326325,-11.424259
1.7,-11.035762,-14.276589,-14.391579
1.8,-13.879339,-17.662631,-17.79718
1.9,-17.127272,-21.530207,-21.687156
2.0,-20.82,-25.929879,-26.112449
